SEM_EXM_EXCH_ID,SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,49396,FUTSTK,0,GODREJCP-Jan2026-FUT,500,GODREJCP JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49397,FUTSTK,0,GODREJPROP-Jan2026-FUT,275,GODREJPROP JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49398,FUTSTK,0,GRASIM-Jan2026-FUT,250,GRASIM JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49399,FUTSTK,0,HAL-Jan2026-FUT,150,HAL JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49400,FUTSTK,0,HAVELLS-Jan2026-FUT,500,HAVELLS JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49401,FUTSTK,0,HCLTECH-Jan2026-FUT,350,HCLTECH JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49402,FUTSTK,0,HDFCAMC-Jan2026-FUT,300,HDFCAMC JAN FUT,27-01-2026 14:30,-0.01,XX,10,M,FUT,,
NSE,D,49422,FUTSTK,0,HDFCBANK-Jan2026-FUT,550,HDFCBANK JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49423,FUTSTK,0,HDFCLIFE-Jan2026-FUT,1100,HDFCLIFE JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
NSE,D,49425,FUTSTK,0,HEROMOTOCO-Jan2026-FUT,150,HEROMOTOCO JAN FUT,27-01-2026 14:30,-0.01,XX,50,M,FUT,,
NSE,D,49426,FUTSTK,0,HINDALCO-Jan2026-FUT,700,HINDALCO JAN FUT,27-01-2026 14:30,-0.01,XX,5,M,FUT,,
